source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Lụa HR,Lập trình Swift",,"['6', 'May', 'at', '16:32']","Xin phép ad ạ Magnenest cần tuyển 03 iOS DEVELOPERS Lương up to $1200  Chi tiết tham khảo: http://bit.ly/2vqvTbn  🏢Địa điểm làm việc: Tầng 9, số 300 Đê La Thành, Đống Đa, HN. 📩 CV gửi về địa chỉ mail: recruitment@magenest.com ghi rõ tiêu đề VỊ TRÍ ỨNG TUYỂN  ☎ Ứng viên quan tâm cmt/ib hoặc liên hệ Ms. Lụa: 0333 644 813",2,2,,,,,,29,2372183136368677,/groups/1445720959014904?view=permalink&id=2372183136368677
Ryan June,,"['18', 'May', 'at', '11:29']",,,,,,,,,,2380094555577535,/groups/1445720959014904?view=permalink&id=2380094555577535
"Quyen Le,Lập trình Swift",,"['16', 'May', 'at', '20:51']","F8 MEETUP HANOI 2019 >>> Đăng kí miễn phí tại: https://f8hanoi2019.splashthat.com/ Lần thứ hai tổ chức tại Việt Nam, F8 MeetUp Hanoi 2019 cập nhật các nội dung mới nhất từ F8 toàn cầu, đồng thời mang đến các góc nhìn khác về công nghệ của Facebook tại Việt Nam qua chia sẻ từ các diễn giả có nhiều năm kinh nghiệm trong nghề. Sự kiện là cơ hội kết nối cộng đồng lập trình viên tại Việt Nam với các chuyên gia công nghệ đến từ Facebook và cộng đồng lập trình viên trên thế giới. ⏰Thời gian: 13h30 - 17h30, thứ Bảy, ngày 25/05/2019 🏠Địa điểm: Up Co-working Space, Tầng 8, Tòa nhà Hanoi Creative, số 1 Lương Yên, Bạch Đằng, Hai Bà Trưng, Hà Nội Tham dự F8 MeetUp Hanoi 2019, bạn sẽ được: ▶Hiểu thêm về công nghệ Facebook Open Source: React/React Native, GraphQL, Oculus - VR, Spark AR Creators, PyTorch - AI ▶Được cập nhật thông tin về các tính năng, sản phẩm công nghệ mới nhất từ Facebook. ▶Nghe những chia sẻ, kinh nghiệm thực tế từ những diễn giả có nhiều năm trong nghề. ▶Giao lưu, làm quen với những lập trình viên, chuyên gia công nghệ. ▶Được truyền cảm hứng, định hướng về sự nghiệp tương lai. ▶Nhận những phần quà từ Facebook Developer Circles Hanoi. 🎉Đăng kí tại: https://f8hanoi2019.splashthat.com/ 🎉Link event: https://www.facebook.com/events/2287547891499663/ 🎉Cộng đồng Facebook Developer Circle: Hanoi: https://www.facebook.com/groups/DevCHanoi/ ‼️ Sự kiện hoàn toàn miễn phí! #DevCHanoi #FacebookDevelopers #F8MeetupHanoi",,,,,,,,2,2378911985695792,/groups/1445720959014904?view=permalink&id=2378911985695792
Nguyễn Thanh Tuấn,,"['17', 'May', 'at', '18:32']","Mong ad duyệt, đây là group mang tính cộng đồng, không thu lợi cho cá nhân hay cho bất kỳ ai, vì đây là group cập nhật và phát triển Developer Việt Nam. Với mong muốn của bản thân là được kết bạn và giao lưu với tất cả các bạn Developer Việt Nam cùng nhau tụ hội lại 1 nơi như Facebook để có thể cùng nhau nhau trò chuyện và cập nhật các thông tin và sự kiện công nghệ lớn tại Việt Nam và các công ty công nghệ lớn hàng đầu thế giới như Google,... Mình mong các bạn Dev và học sinh, sinh viên cũng như mình cùng nhau tham gia và để cộng đồng lập trình viên cùng nhau ngồi lại để chia sẻ các tin tức và những gì bạn biết về lập trình cho mọi người cùng biết và phát triển cộng đồng lập trình Việt Nam mình lên nhé! Hãy cùng tham gia chung với mình nhé! ^^ https://www.facebook.com/groups/709168805764561/",,,,,,,,,2379575188962805,/groups/1445720959014904?view=permalink&id=2379575188962805
"Harry Edward,Truong Thang",,"['17', 'May', 'at', '20:47']",auto layout IOS,1,,,1,,,,,2379649432288714,/groups/1445720959014904?view=permalink&id=2379649432288714
"Quân Lê,Lập trình Swift",,"['17', 'May', 'at', '16:40']","  Software JSC chuyên về phát triển các sản phẩm, phần mềm cho thị trường Nhật Bản, có công ty con tại Tokyo.  Gia nhập MOR bạn sẽ có nhiều trải nghiệm một hành trình thú vị và cơ hội trở thành thành viên chủ chốt của công ty:Lương thỏa thuận lên đến $1800, lương tháng thứ 13 + thưởng theo dự án, lễ tết, hiệu quả công việc.Review lương 2 lần/năm.Hỗ trợ học tiếng Nhật, các khóa nâng cao kỹ năng chuyên môn.Cơ hội làm việc và đào tại tại Nhật Bản.Các chế độ khác: bảo hiểm, xăng xe, ăn trưa, teambuilding thường xuyên, du lịch hàng năm, nghỉ phép,…Thời gian làm việc từ thứ 2 - thứ 6 ( 8:30-17:30).MOR chỉ cần bạn:-Có kinh nghiệm làm việc 6 tháng trở lên.-Sử dụng thành thạo một trong các ngôn ngữ Swift, Java-android.Địa điểm: Tố hữu, Trung Văn, Quận Nam Từ Liêm, Hà Nội---Apply vào công ty bằng cách: :[Tên bạn]ail.com Có thắc mắc gì m.n cứ comment bên dưới hoặc inbox mình nhé!! ",3,3,,,,,,1,2379522465634744,/groups/1445720959014904?view=permalink&id=2379522465634744
"Thuý Hoàng,Lập trình Swift",,"['17', 'May', 'at', '09:10']",💁‍♀️Em cần ios rồi - Anh apply đi💸💃 -------------------------- ❓[RIKKEISOFT] cần các anh Lập trình viên IOS all level🎉🎉 💵Mức lương upp to $1500 (có thể thương lượng phù hợp với năng lực ứng viên) ❌❌Anh em sẽ nhận được vô vàn quyền lợi khi ra nhập vào đại gia đình Rikkeisoft. 👉👉Các anh dev còn do dự gì nữa mà ko apply đi nhỉ: Tuyendung@rikkeisoft.com. ----------------------------- Inb mình gửi JD công việc cụ thể nhé^^,1,1,,,,,,3,2379284038991920,/groups/1445720959014904?view=permalink&id=2379284038991920
"Trần Việt,Lập trình Swift",,"['15', 'May', 'at', '15:45']","[ĐN] Nitro Tech Asia, Inc. TUYỂN DỤNG  Vị trí : App Developers | $500 - $1000 Nitro Tech Asia Inc. là công ty xuất bản phần mềm và tạo ra giá trị mở rộng kinh doanh ở châu Á. Hiện nay công ty đang phát triển ở các thành phố lớn như Tokyo, Thượng Hải, Singapore, Hồ Chí Minh, Jakarta và Kuala Lumpur. 👍YÊU CẦU CÔNG VIỆC :  + Kinh nghiệm trên 1 năm với Android/IOS + Có kến thức tốt về OOP, Data Structures, Algorithm, UI/UX 🎁PHÚC LỢI : +Lương + thưởng hấp dẫn (lương tháng 13, phụ cấp,... +Phụ cấp chứng chỉ IT, kỹ năng tiếng Nhật, chứng chỉ tiếng Anh,… +Cơ sở vật chất tiện nghi để nghỉ ngơi sau giờ làm mệt mỏi +Được tham gia các câu lạc bộ và sự kiện do công ty tổ chức. 🏢Địa điểm làm việc : Nitro Tech Asia, Inc. Tầng 8, tòa nhà ACB, 218 Bạch Đằng P.Phước Ninh, Quận Hải Châu, Tp.Đà Nẵng. ⏰Thời gian làm việc : thứ 2 ~ thứ 6 : 8h30 – 17h30 ( nghỉ trưa 1h30) Nhanh tay gửi CV về mail :  affiliate@applancer.net  Title : [Nitro Tech Asia]- App Developers -Tên bạn để ứng tuyển nhé.",,,,,,,,1,2378013315785659,/groups/1445720959014904?view=permalink&id=2378013315785659
"Uyển Nhi,Lập trình Swift",,"['16', 'May', 'at', '14:11']","[HCM] iOS Developer | Up to $1,000 🎉🎉 Not A Basement Studio đang cần tuyển iOS Developer làm việc tại Q.7 HCM với mức offer up to $1,000 Yêu cầu: 👉 Có từ 1 năm kinh nghiệm về iOS với 1 app được duyệt trên store hoặc phát triển app cho khách hàng 👉 Thành thạo về UIKit, CoreGraphic, Foundation. 👉 Thành thạo các tools như Xcode, Instruments, etc. Đãi ngộ:  ⚡️Được cung cấp workstation outfitted cá nhân với Macbook, iPhone, và iPad. ⚡️Lương thưởng cạnh tranh, có thỏa thuận. ⚡️ Được review tăng lương 6 tháng/lần. ⚡️ Hỗ trợ ăn trưa miễn phí. ⚡️Giờ giấc làm việc tự do. ---- Bạn quan tâm vui lòng gửi CV qua mail phannguyenuyennhi59@gmail.com 📧 Tiêu đề: iOS Developer - Not A Basement Studio - Tên bạn Mọi thắc mắc, bạn có thể comment bên dưới hoặc inbox cho mình nhé.",6,6,,,,,,1,2378711155715875,/groups/1445720959014904?view=permalink&id=2378711155715875
"Pham My Linh,Lập trình Swift",,"['14', 'May', 'at', '18:03']","Công ty GMO-Z.com RUNSYSTEM mở đợt tuyển dụng lớn nhất trong năm 👉👉👉Lương UP TO 10M 🏠 Địa điểm làm việc số 1 Đào Duy Anh - Đối diện ĐH Bách Khoa HN 50 FRESHER, THỰC TẬP SINH, Học việc trong lĩnh vực IT: #JAVA/ #PHP, #Android, #iOS, #Ruby, #NET, #Python, #Angular, #NodeJS, #ReactNative,... tại HÀ NỘI Lương theo năng lực #UPTO 10M/ tháng (lương tính theo tỉ lệ giờ công thực tế tham gia dự án) Em SV nào quan tâm JOB gửi CV qua:  E: linhptm@runsystem.net P: +84-965 096456 Skype: Linh Phạm GMO",,,,,,,,,2377385265848464,/groups/1445720959014904?view=permalink&id=2377385265848464
"Ngân Nguyễn,Lập trình Swift",,"['14', 'May', 'at', '09:21']",,4,4,,,,,,2,2377131955873795,/groups/1445720959014904?view=permalink&id=2377131955873795
"Nhật HR,Lập trình Swift",,"['13', 'May', 'at', '14:47']",,,,,,,,,1,2376610662592591,/groups/1445720959014904?view=permalink&id=2376610662592591
"Đồng Xuân Thành,Truong Thang",,"['14', 'May', 'at', '15:53']",Thực hành layout stack view trong dự án thật,1,1,,,,,,,2377318705855120,/groups/1445720959014904?view=permalink&id=2377318705855120
"Trà My,Lập trình Swift",,"['13', 'May', 'at', '16:55']","💎 Truy tìm Dev Android & iOS - UP TO $1500 💎 Hãy cho chúng tôi thấy cánh tay của các RichDev đi 🖐🖐 Cần lắm những người anh em thiện lành có kinh nghiệm ít nhất từ 1 năm trở lên 👨‍💻👩‍💻 🌈 Yêu thích lập trình trên nền tảng iOS hoặc Android 🌈 Biết sử dụng các hệ thống cơ sở dữ liệu: Sqlite 🌈 Nắm vững các khái niệm lập trình hướng đối tượng OOP, mô hình MVC.. 🌈 Sử dụng được các tools lập trình Eclipse IDE, Android SDK ✨ Ngoài ra nhận CV tất cả các vị trí và liên hệ khi có Job phù hợp.  ----------------------------------------------------------------------------------- 🏣Hà Nội: Tầng 3, Tòa nhà HH3 SUDICO, KĐT Mễ Trì, P. Mỹ Đình, Q. Nam Từ Liêm, TP. Hà Nội. 🌻Website: https://rikkeisoft.com/ ✨ Liên hệ bộ phận tuyển dụng để được tư vấn nhanh nhất: 📧 Mail: myvt@rikkeisoft.com 📂 Skype: myvt282",2,2,,,,,,,2376670712586586,/groups/1445720959014904?view=permalink&id=2376670712586586
"Trần Đạt,Lập trình Swift",,"['13', 'May', 'at', '16:04']","[HN] iOS Developer | up to $1500 🏢 TCOM công nghệ và dịch vụ phần mềm, cung cấp dịch vụ phát triển phần mềm, gia công phần mềm, theo mô hình offshore (laboratory, project-based) và onsite với chất lượng tốt nhất. Mobile app, Web app, Video Solution, Realtime Solution. Trở thành công ty công nghệ top 1 Việt Nam và là công ty có uy tín, dẫn đầu trong lĩnh vực gia công phần mềm cho thị trường Nhật bản, Châu âu và Mỹ. - Địa điểm làm việc: 391 Trường Chinh, Thanh Xuân, Hà Nội. 🏢 TCOM tìm kiếm các ứng viên iOS Developer với mức lương UP TO $1500. Công ty yêu cầu: + 6 tháng kinh nghiệm trở lên với lập trình iOS. + Biết và nắm vững về 1trong Swift, Objective-C Phúc lợi TCOM vô cùng lớn: 📋 Lương khởi điểm hấp dẫn, đúng với khả năng - Up to $1500. 📋 Thưởng theo dự án, xứng đáng với những đóng góp của bạn. 📋 Thưởng tháng 13, thưởng nhân viên xuất sắc, thưởng nóng... và nghỉ mát hàng năm. 📋 Được hưởng đầy đủ các chế độ cho người lao động theo luật lao động Việt Nam (BHXH, BHYT, BHTN…). 📋 Được tham gia các buổi đào tạo nội bộ, trình chiếu công nghệ mới hàng tuần. 📋 Tham gia các câu lạc bộ bóng đá, bóng bàn, ngoại khóa, và đặc biệt là các mini event của công ty. --------------------------------------------------------------------- Các iOS Developer ứng tuyển CV về ☎ Title: [TCOM] - iOS - Họ và Tên ☎☎ Mail: tran196dat@gmail.com Mình hỗ trợ qua ib nha.",2,2,,,,,,1,2376647675922223,/groups/1445720959014904?view=permalink&id=2376647675922223
source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"Trần Đạt,Lập trình Swift",,"['30', 'May', 'at', '15:32']","[HN] Mobile Developer (iOS, Android) at Paygate| Offer up to $1,500 🌈PayGate là tập đoàn fintech có trụ sở chính ở Seoul, Hàn Quốc. Được thành lập từ năm 1998, các sản phẩm dịch vụ của PayGate tập trung vào ba lĩnh vực chính: thanh toán trực tuyến, thương mại điện tử và chuyển tiền quốc tế Hiện nay công ty cần tuyển thêm 2 bạn mobile developer về cùng làm dự án fintech. Với các ưu đãi: 😍Được làm việc trong môi trường chuyên nghiệp, tham gia dự án lớn 😍Được đóng các loại bảo hiểm 😍Có cơ hội tham gia các sự kiện IT và qua Hàn training 😍Được giữ xe miễn phí nữa Yêu cầu: 🎯Có trên 3 năm kinh nghiệm code Mobile App 🎯Có kinh nghiệm viết iOS app bằng Swift hoặc Android bằng Java 🎯Có khả năng thiết kế và tối ưu cơ sở dữ liệu cho ứng dụng có lượng truy cập lớn 🚩Địa chỉ làm việc: Tầng 2, tòa nhà 25T2, Hoàng Đạo Thúy, Trung Hòa, Quận Cầu Giấy, Hà Nội Gửi CV về mail: tran196dat@gmail.com   Tiêu đề: Paygate - Mobile Dev - Họ và tên Nhanh tay gửi CV về nào mn ơi, có bất kỳ thắc mắc nào có thể inb mình nha.",2,2,,,,,,2,2388604561393201,/groups/1445720959014904?view=permalink&id=2388604561393201
"Uyển Nhi,Lập trình Swift",,2019-06-03,"[HCM/HN/ĐN] Sun* Inc. tuyển iOS Developer | UP TO $1,800 📣 Sun* Inc. (New brand of Framgia Inc.) cần tuyển iOS Developer với 1 năm kinh nghiệm. Bạn sẽ nhận mức offer từ $600 - $1,800 kèm những phúc lợi siêu hấp dẫn. 📣 Đãi ngộ:  🎁 Lương tháng 13. Performance review: 2 lần/năm. 🎁 Trang thiết bị hiện đại. 🎁 Môi trường làm việc toàn cầu, văn hóa đa quốc gia. 🎁 Được tham gia các chương trình training về kỹ năng công nghệ và kỹ năng mềm, phương pháp làm việc (Agile, Scrum...). 🎁 Phụ cấp chứng chỉ IT, phụ cấp tiếng Nhật, phụ cấp kỹ năng tiếng Nhật, phụ cấp chứng chỉ tiếng Anh, phụ cấp tham gia hội thảo ngoài. 📍 Job tuyển ở cả Hà Nội, Đà Nẵng, HCM luôn nhé. ---- Gửi CV bạn qua mail phannguyenuyennhi59@gmail.com 📧 Tiêu đề: iOS Developer - Sun* Inc. - Tên bạn Mọi thắc mắc, bạn vui lòng comment bên dưới hoặc inbox cho mình nhé.",6,6,,,,,,1,2391407157779608,/groups/1445720959014904?view=permalink&id=2391407157779608
source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"/profile.php?id=100022932334002&fref=nf&refid=18&__tn__=C-R,/groups/1445720959014904?refid=18&__tn__=C-R",,"['30', 'May', 'at', '15:32']","[HN] Mobile Developer (iOS, Android) at Paygate| Offer up to $1,500 🌈PayGate là tập đoàn fintech có trụ sở chính ở Seoul, Hàn Quốc. Được thành lập từ năm 1998, các sản phẩm dịch vụ của PayGate tập trung vào ba lĩnh vực chính: thanh toán trực tuyến, thương mại điện tử và chuyển tiền quốc tế Hiện nay công ty cần tuyển thêm 2 bạn mobile developer về cùng làm dự án fintech. Với các ưu đãi: 😍Được làm việc trong môi trường chuyên nghiệp, tham gia dự án lớn 😍Được đóng các loại bảo hiểm 😍Có cơ hội tham gia các sự kiện IT và qua Hàn training 😍Được giữ xe miễn phí nữa Yêu cầu: 🎯Có trên 3 năm kinh nghiệm code Mobile App 🎯Có kinh nghiệm viết iOS app bằng Swift hoặc Android bằng Java 🎯Có khả năng thiết kế và tối ưu cơ sở dữ liệu cho ứng dụng có lượng truy cập lớn 🚩Địa chỉ làm việc: Tầng 2, tòa nhà 25T2, Hoàng Đạo Thúy, Trung Hòa, Quận Cầu Giấy, Hà Nội Gửi CV về mail: tran196dat@gmail.com   Tiêu đề: Paygate - Mobile Dev - Họ và tên Nhanh tay gửi CV về nào mn ơi, có bất kỳ thắc mắc nào có thể inb mình nha.",2,2,,,,,,2,2388604561393201,/groups/1445720959014904?view=permalink&id=2388604561393201
